Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,869.1,874.8,885.0,,,,,,,,,,
2020,972.0,971.1,962.1,732.9,773.9,821.1,861.1,878.7,890.3,897.2,904.0,898.3,880.2
2019,969.8,969.7,979.7,992.7,1000.8,1018.4,1015.2,1008.5,995.6,1003.6,1008.5,1009.2,997.6
2018,966.3,968.5,976.4,992.2,1005.4,1022.7,1016.5,1009.6,995.7,1005.0,1008.9,1012.2,998.3
2017,961.6,960.9,970.1,983.7,1001.8,1018.1,1012.7,1008.0,1000.1,1003.9,1009.6,1013.6,995.3
2016,945.6,947.7,960.5,977.8,987.3,1002.9,1002.4,998.4,990.3,995.7,1000.2,1004.8,984.5
2015,936.2,934.6,943.8,959.6,977.1,988.4,988.4,983.5,976.3,983.6,985.4,989.1,970.5
2014,924.2,923.8,934.1,948.2,963.4,974.3,973.1,968.7,961.5,969.9,973.0,977.0,957.6
2013,904.8,906.6,917.0,935.4,947.6,961.5,959.8,954.9,952.3,961.1,964.9,969.5,944.6
2012,896.1,896.8,907.3,915.9,930.9,944.4,937.9,935.3,933.5,938.2,933.3,946.7,926.4
2011,870.8,868.2,879.1,898.5,910.2,924.5,923.2,915.4,913.8,917.7,922.1,928.5,906.0
2010,854.7,852.6,863.5,880.0,889.9,901.7,899.4,896.9,892.7,898.6,901.9,907.3,886.6
2009,866.3,864.4,870.2,872.3,886.0,895.8,890.2,887.7,885.1,885.5,887.4,892.6,882.0
2008,888.8,887.6,897.1,904.7,914.6,923.5,918.5,914.8,909.2,910.3,909.4,912.3,907.6
2007,881.9,880.4,890.2,902.5,913.1,925.6,920.5,914.7,912.7,915.2,920.7,928.6,908.8
2006,864.0,862.1,874.3,883.8,896.4,910.1,907.7,903.8,901.3,906.6,913.7,921.5,895.4
2005,863.6,864.2,873.6,888.8,895.1,907.1,905.4,902.4,901.0,898.6,904.9,913.6,893.2
2004,860.5,862.1,874.1,880.9,892.9,906.2,904.0,902.0,899.2,902.5,905.2,912.0,891.8
2003,848.5,847.6,858.6,865.8,877.1,888.5,885.7,883.8,882.2,887.3,892.6,898.0,876.3
2002,841.0,840.7,852.1,859.9,870.0,880.4,875.8,874.2,873.7,877.6,881.8,888.5,868.0
2001,849.0,848.7,858.0,857.5,872.2,882.6,877.3,874.8,866.5,871.3,875.1,883.2,868.0
2000,831.9,834.2,843.4,855.7,865.9,875.9,873.9,871.7,875.7,876.8,881.3,892.4,864.9
1999,813.9,815.5,823.7,837.1,844.8,856.7,852.5,854.7,846.3,853.5,859.8,868.9,844.0
1998,785.4,784.1,794.8,799.3,813.4,825.1,819.6,819.7,817.8,825.9,829.5,837.8,812.7
1997,766.7,763.9,776.5,782.6,792.5,804.4,800.9,802.4,801.1,805.1,810.8,819.1,793.8
1996,747.2,748.2,758.4,763.8,779.0,791.9,785.1,786.7,784.6,788.2,794.6,802.1,777.5
1995,750.9,748.6,757.3,760.7,770.0,781.7,778.2,778.7,779.7,776.1,778.5,785.8,770.5
1994,727.3,721.8,733.4,742.2,752.0,765.3,760.8,763.8,763.4,766.5,769.6,777.3,753.6
1993,710.8,708.6,712.8,723.4,736.5,748.8,744.0,746.2,746.3,747.8,749.5,756.4,735.9
1992,707.6,705.3,710.5,717.6,726.2,736.0,731.2,728.7,727.7,730.2,732.3,736.2,724.1
Private Service-Providing - Data in thousands.,Private Service-Providing - Data in thousands.,Private Service-Providing - Data in thousands.,Private Service-Providing - Data in thousands.,Private Service-Providing - Data in thousands.,Private Service-Providing - Data in thousands.,Private Service-Providing - Data in thousands.,Private Service-Providing - Data in thousands.,Private Service-Providing - Data in thousands.,Private Service-Providing - Data in thousands.,Private Service-Providing - Data in thousands.,Private Service-Providing - Data in thousands.,Private Service-Providing - Data in thousands.,Private Service-Providing - Data in thousands.
1991,718.9,714.7,721.0,720.6,730.0,739.7,731.6,730.8,729.8,730.3,733.1,738.9,728.3
1990,730.8,726.3,734.8,738.2,750.7,760.9,755.3,754.4,753.6,749.4,752.0,755.5,746.8
